mid_date, v [m/yr], satellite, dt (days)
2005-05-10T20:20:33.310Z,1146, Landsat 7, 16 
2019-07-20T20:50:29.000Z,496, Sentinel 2, 60 
2013-01-16T20:26:53.652Z,539, Landsat 7, 160 
2018-05-13T20:40:21.000Z,616, Sentinel 2, 10 
2022-04-03T08:52:45.000Z,813, Sentinel 2, 85 
2018-12-22T20:53:31.000Z,312, Sentinel 2, 150 
2009-07-20T08:22:54.858Z,491, Landsat 5, 87 
2019-07-15T20:50:29.000Z,513, Sentinel 2, 70 
1994-08-01T19:42:26.791Z,1293, Landsat 5, 16 
2019-07-08T08:50:30.000Z,645, Sentinel 2, 5 
2022-04-30T20:50:31.000Z,949, Sentinel 2, 60 
2003-04-19T20:19:42.953Z,551, Landsat 7, 16 
2019-06-05T08:40:25.000Z,636, Sentinel 2, 135 
2018-10-05T20:43:09.000Z,329, Sentinel 2, 50 
2019-08-04T20:50:24.000Z,338, Sentinel 2, 70 
2019-10-11T08:54:05.000Z,220, Sentinel 2, 15 
2016-06-17T20:42:03.000Z,596, Sentinel 2, 60 
2009-06-03T08:18:17.912Z,862, Landsat 7, 23 
2019-09-05T20:42:41.000Z,290, Sentinel 2, 90 
2018-03-17T08:42:00.000Z,259, Sentinel 2, 25 
2002-03-07T20:19:46.919Z,743, Landsat 7, 64 
2019-05-18T20:40:29.000Z,881, Sentinel 2, 40 
2022-05-23T08:50:25.000Z,1005, Sentinel 2, 75 
2018-09-03T08:40:15.000Z,134, Sentinel 2, 5 
2022-05-13T08:50:30.000Z,950, Sentinel 2, 85 
2022-04-28T08:50:25.000Z,1083, Sentinel 2, 5 
2000-08-20T08:25:02.559Z,559, Landsat 7, 87 
2006-10-03T20:31:08.299Z,795, Landsat 5, 16 
2022-06-27T08:50:25.000Z,790, Sentinel 2, 65 
2019-07-23T08:50:30.000Z,455, Sentinel 2, 55 
2008-04-04T08:24:09.637Z,696, Landsat 7, 41 
2022-08-28T20:52:54.000Z,380, Sentinel 2, 110 
2022-10-12T08:43:45.000Z,209, Sentinel 2, 75 
2002-03-28T08:16:41.108Z,756, Landsat 7, 23 
2019-05-04T08:52:30.000Z,678, Sentinel 2, 135 
2021-01-27T15:48:49.190Z,1551, Sentinel 1, 12 
2018-01-23T20:43:44.000Z,268, Sentinel 2, 140 
2017-08-14T20:51:10.999Z,499, Sentinel 2, 80 
2022-04-28T08:50:20.000Z,901, Sentinel 2, 35 
2019-10-18T08:44:35.000Z,311, Sentinel 2, 45 
2018-03-04T20:43:59.000Z,255, Sentinel 2, 80 
2020-01-16T08:44:10.000Z,408, Sentinel 2, 135 
2019-09-18T08:42:55.000Z,267, Sentinel 2, 75 
2018-03-22T08:43:35.000Z,363, Sentinel 2, 95 
2007-07-27T20:24:30.591Z,743, Landsat 5, 16 
2019-04-13T20:40:29.000Z,579, Sentinel 2, 30 
2002-03-20T08:16:42.264Z,888, Landsat 7, 25 
2022-10-09T20:44:19.000Z,241, Sentinel 2, 100 
2011-03-25T20:18:19.226Z,547, Landsat 7, 64 
2002-01-26T20:19:37.013Z,706, Landsat 7, 112 
2009-06-19T08:18:16.533Z,900, Landsat 7, 23 
1999-04-05T08:06:39.767Z,751, Landsat 5, 25 
2019-04-19T08:50:25.000Z,587, Sentinel 2, 25 
2022-08-16T08:51:35.000Z,400, Sentinel 2, 85 
2019-04-04T08:50:25.000Z,712, Sentinel 2, 5 
2014-08-15T20:28:33.117Z,304, Landsat 7, 64 
2022-05-20T20:50:26.000Z,958, Sentinel 2, 80 
2004-04-01T08:23:11.090Z,560, Landsat 7, 71 
2021-08-28T20:51:10.999Z,323, Sentinel 2, 50 
2022-06-11T02:55:24.830Z,920, Sentinel 1, 12 
2022-06-29T08:40:30.000Z,1053, Sentinel 2, 5 
2019-08-24T08:42:45.000Z,354, Sentinel 2, 115 
2022-09-17T20:53:41.000Z,277, Sentinel 2, 100 
2019-07-17T20:40:44.000Z,502, Sentinel 2, 120 
2005-08-27T08:15:56.835Z,459, Landsat 5, 25 
2022-04-18T08:50:25.000Z,1050, Sentinel 2, 5 
2016-07-07T20:40:22.000Z,460, Sentinel 2, 100 
2018-01-14T08:53:00.000Z,257, Sentinel 2, 155 
2019-08-16T20:41:19.000Z,289, Sentinel 2, 80 
2016-08-16T20:46:21.000Z,280, Sentinel 2, 140 
2002-01-18T20:19:40.541Z,687, Landsat 7, 96 
2021-07-14T08:40:20.000Z,1351, Sentinel 2, 65 
2003-03-23T08:16:33.608Z,336, Landsat 7, 57 
2017-01-23T20:42:56.500Z,297, Sentinel 2, 180 
2007-01-24T20:21:02.846Z,293, Landsat 7, 176 
2019-04-29T08:52:30.000Z,686, Sentinel 2, 125 
2021-06-20T15:48:53.027Z,2401, Sentinel 1, 12 
2020-06-04T08:40:20.000Z,1485, Sentinel 2, 15 
2019-03-07T20:53:21.000Z,430, Sentinel 2, 40 
2021-08-01T08:50:20.000Z,916, Sentinel 2, 5 
2022-10-30T08:56:05.000Z,71, Sentinel 2, 15 
2019-06-08T08:50:25.000Z,1015, Sentinel 2, 5 
2016-12-02T20:54:31.500Z,182, Sentinel 2, 130 
2019-08-24T20:50:29.000Z,121, Sentinel 2, 10 
2021-02-21T20:44:51.000Z,2340, Sentinel 2, 20 
2018-08-14T20:50:21.000Z,327, Sentinel 2, 50 
2020-05-10T20:50:26.000Z,1159, Sentinel 2, 60 
2018-01-21T08:43:40.000Z,255, Sentinel 2, 145 
2012-05-13T20:25:14.205Z,921, Landsat 7, 80 
2022-05-23T08:50:25.000Z,1424, Sentinel 2, 5 
2013-04-02T08:30:05.203Z,940, Landsat 7, 23 
2019-04-14T08:53:50.000Z,622, Sentinel 2, 145 
2018-12-05T08:53:45.000Z,283, Sentinel 2, 145 
2008-04-16T20:21:04.318Z,690, Landsat 7, 16 
